"appid","time0","grade","reviews"
"222440",1422576000,91,175
"222631",1416441600,45,20
"222633",1428537600,100,3
"222804",1427155200,88,9
"222805",1427155200,60,5
"222806",1427155200,100,4
"222807",1427155200,100,8
"367000",1431388800,76,26
"367030",1431043200,90,11
"367040",1430092800,0,2
"367060",1430438400,60,5
"367110",1431648000,78,32
"367180",1431388800,100,1
"295043",1415059200,100,1
"295044",1415059200,100,1
"367220",1431388800,0,3
"295051",1416873600,100,1
"295056",1416873600,75,4
"295057",1417564800,100,1
"295069",1418083200,100,3
"295073",1418688000,100,1
"295083",1418688000,100,1
"295084",1418688000,33,3
"295086",1418688000,100,4
"295089",1420502400,50,2
"367260",1430179200,100,6
"295091",1420502400,100,1
"295093",1420502400,66,3
"295099",1421107200,100,1
"367290",1430697600,100,1
"295110",1420848000,68,29898
"367300",1432252800,100,11
"295162",1422403200,50,8
"295181",1423094400,0,1
"295182",1423094400,100,2
"295190",1415577600,100,3
"295330",1415059200,93,15
"367640",1431388800,100,2
"367670",1430697600,94,430
"295590",1426723200,70,99
"368220",1431388800,61,18
"368250",1430784000,100,1
"368290",1431907200,100,6
"368320",1432080000,66,3
"368340",1431648000,100,36
"368360",1430870400,89,37
"296270",1427241600,100,4
"296280",1422576000,65,47
"368470",1432252800,100,9
"368650",1431043200,96,109
"296490",1430352000,97,282
"368700",1431648000,100,5
"368870",1430956800,91,182
"296710",1421971200,97,237
"368900",1431302400,58,12
"368950",1431388800,93,573
"368990",1431302400,44,9
"296830",1422230400,64,278
"369000",1431302400,78,14
"369100",1431648000,76,25
"369120",1430870400,71,7
"297000",1420502400,54,1424
"297070",1421884800,71,7
"369370",1431648000,55,9
"297310",1416182400,51,47
"297390",1416873600,57,7
"369620",1432166400,76,17
"369640",1431388800,88,9
"297470",1419292800,81,54
"297650",1418688000,100,10
"369860",1431561600,50,4
"297831",1415836800,64,42
"297920",1426118400,74,50
"225270",1420588800,87,8
"310031",1414627200,88,105
"310032",1414627200,100,4
"310033",1414627200,100,3
"310034",1414627200,60,10
"310050",1416268800,0,1
"298160",1414713600,76,880
"310100",1414713600,100,14
"310360",1417737600,97,295
"310370",1419897600,81,4275
"310380",1415318400,74,2187
"310460",1417651200,42,7
"298560",1421107200,96,80
"310560",1430092800,93,1898
"310580",1416528000,100,1
"310640",1415750400,11,9
"310660",1414627200,95,21
"298790",1418169600,87,16
"310740",1429142400,96,31
"310790",1416268800,90,486
"298850",1415145600,77,9
"310810",1422403200,92,13
"310850",1414713600,70,120
"310880",1415232000,50,41
"310890",1421884800,80,96
"298930",1415664000,86,66
"298950",1417564800,63,22
"311160",1418947200,80,15
"311161",1418947200,37,8
"311162",1418947200,80,5
"311163",1418947200,83,6
"311164",1418947200,81,22
"299350",1417564800,75,52
"299360",1416441600,76,2380
"311400",1415836800,41,203
"311490",1423699200,76,13
"311560",1423094400,90,545
"299680",1420070400,81,238
"299740",1414627200,65,1597
"311700",1418256000,44,202
"311730",1417651200,59,2450
"311840",1426636800,88,9
"311950",1417651200,100,1
"43190",1418342400,88,264
"227520",1418601600,88,350
"312060",1415232000,63,287
"312230",1426464000,93,32
"312240",1426118400,71,7
"312270",1415923200,14,7
"312310",1415836800,50,6
"312370",1416355200,81,237
"312400",1417392000,20,10
"312420",1415664000,68,19
"312430",1427760000,85,42
"312450",1427760000,92,67
"312540",1429574400,94,93
"312600",1418083200,70,47
"240460",1429660800,69,751
"312710",1429488000,50,2
"312790",1423526400,75,104
"312840",1422489600,88,454
"312930",1418256000,95,21
"313010",1421020800,24,1248
"313120",1420761600,91,9386
"313370",1421712000,78,19
"313371",1422316800,63,19
"313372",1422921600,86,15
"313373",1416268800,60,5
