"appid","query_date","grade","reviews","bundles"
"275470","2014-10-29",85,284,
"347641","2015-03-20",0,0,
"347642","2015-03-20",0,0,
"347643","2015-03-20",0,0,
"347644","2015-03-20",0,0,
"347645","2015-03-20",0,0,
"275490","2014-10-29",44,1622,
"347670","2015-03-11",80,140,
"347680","2015-02-20",100,2,
"347690","2015-02-02",63,11,
"91200","2014-10-29",89,2660,
"275510","2014-10-29",55,65,
"275530","2014-10-29",74,307,
"347710","2015-03-26",94,36,
"275560","2014-10-29",100,8,
"275570","2014-10-29",79,112,
"275590","2014-10-29",85,214,
"347780","2015-02-03",0,0,
"347790","2015-04-03",90,11,
"91310","2014-10-29",86,16061,
"91330","2014-10-29",68,315,
"91333","2014-10-29",66,18,
"91342","2014-10-29",85,14,
"91346","2014-10-29",88,18,
"275610","2014-10-29",60,424,
"347800","2015-02-28",0,0,
"275670","2014-10-29",90,1038,
"275690","2014-11-11",88,181,
"347880","2015-02-03",55,350,
"347890","2015-04-15",75,76,
"275700","2014-10-29",91,131,
"275710","2014-10-29",100,2,
"347900","2015-02-03",100,2,
"347910","2015-02-21",0,0,
"347920","2015-02-09",100,1,
"347930","2015-02-04",25,8,
"347940","2015-02-04",90,54,
"347980","2015-02-24",60,5,
"347981","2015-04-15",75,4,
"347990","2015-03-04",96,235,
"275804","2014-10-29",0,0,
"275805","2014-10-29",0,0,
"275806","2014-10-29",0,0,
"275807","2014-10-29",0,0,
"275809","2014-10-29",0,0,
"275810","2014-10-29",57,19,
"275830","2014-10-29",100,9,
"91600","2014-10-29",92,1898,
"91604","2014-10-29",100,3,
"91609","2014-10-29",80,5,
"91610","2014-10-29",100,1,
"91612","2014-10-29",100,2,
"91616","2014-10-29",100,3,
"91618","2014-10-29",100,3,
"91700","2014-10-29",81,3455,
"91800","2014-10-29",83,55,
"91810","2014-10-29",71,14,
"91820","2014-10-29",100,3,
"91830","2014-10-29",0,1,
"91900","2014-10-29",84,1305,
"203060","2014-10-29",0,0,
"203140","2014-10-29",91,11195,
"203160","2014-10-29",96,35726,
"203178","2014-10-29",100,2,
"203210","2014-10-29",92,685,
"203250","2014-10-29",70,439,
"203290","2014-10-29",78,3830,
"203340","2014-10-29",0,2,
