"appid","query_date","grade","reviews","bundles"
"348860","2015-02-20",100,5,
"348870","2015-02-11",80,15,
"348920","2015-02-13",100,2,
"348960","2015-02-23",87,8,
"348970","2015-02-26",100,1,
"348980","2015-02-16",50,6,
"348990","2015-03-20",90,20,
"276810","2014-11-17",82,700,
"361020","2015-05-11",0,0,
"361060","2015-04-06",0,1,
"361070","2015-05-04",0,0,
"361110","2015-04-20",100,4,
"361170","2015-04-03",23,13,
"361171","2015-04-03",100,3,
"361172","2015-04-03",100,2,
"361173","2015-04-03",0,1,
"361180","2015-04-02",100,2,
"361181","2015-04-02",40,10,
"361182","2015-04-02",57,7,
"361183","2015-04-02",0,1,
"361190","2015-04-21",68,29,
"361220","2015-05-08",0,0,
"361280","2015-05-26",0,0,
"361310","2015-04-02",100,13,
"361312","2015-04-03",100,4,
"361313","2015-04-03",100,2,
"361314","2015-04-02",100,3,
"361320","2015-04-17",50,12,
"361330","2015-04-21",86,15,
"361350","2015-05-11",100,2,
"361380","2015-04-09",100,10,
"361430","2015-04-22",77,9,
"361440","2015-04-07",100,2,
"361470","2015-05-01",50,2,
"361480","2015-04-30",0,0,
"361481","2015-04-30",0,0,
"361482","2015-04-30",0,0,
"361483","2015-04-30",0,0,
"361484","2015-04-30",0,0,
"361485","2015-04-30",0,0,
"361520","2015-04-24",0,0,
"361540","2015-05-06",0,0,
"361541","2015-05-06",0,0,
"361542","2015-05-06",0,0,
"361620","2015-05-21",80,5,
"361630","2015-04-10",84,757,
"361660","2015-04-07",15,26,
"361670","2015-04-28",78,52,
"361690","2015-04-28",77,40,
"361700","2015-04-07",87,204,
"361800","2015-04-28",0,0,
"361820","2015-05-03",95,23,
"361830","2015-04-15",93,33,
"361850","2015-05-25",0,0,
"361870","2015-04-03",0,0,
"361970","2015-05-07",83,12,
"361990","2015-04-10",94,141,
"349000","2015-05-13",83,6,
"349050","2015-03-09",0,0,
"349060","2015-02-19",75,4,
"349080","2015-02-06",100,1,
"349130","2015-02-24",0,0,
"349190","2015-04-29",100,14,
"349210","2015-02-11",90,21,
"349240","2015-02-27",100,2,
"349260","2015-02-17",80,6,
"349280","2015-05-21",75,4,
"349300","2015-04-03",96,26,
"349310","2015-02-13",95,159,
"349320","2015-03-31",85,20,
"349330","2015-02-20",100,1,
"349331","2015-02-20",0,0,
"349350","2015-04-02",83,24,
"349370","2015-02-11",100,1,
"349440","2015-04-07",54,44,
"349450","2015-02-09",68,22,
"349460","2015-04-20",83,6,
"349480","2015-02-26",67,588,
"349500","2015-02-25",86,15,
"349530","2015-02-25",70,20,
"349540","2015-02-17",47,17,
"349550","2015-02-25",63,36,
"349560","2015-02-17",0,4,
"349620","2015-02-19",0,0,
"349660","2015-03-03",0,0,
"349670","2015-04-01",84,19,
"349690","2015-03-03",100,12,
"349740","2015-03-09",87,8,
"349750","2015-02-19",35,14,
"349770","2015-04-16",57,7,
"349780","2015-02-20",60,5,
"349800","2015-04-16",0,0,
"349810","2015-05-12",0,0,
"349820","2015-02-11",0,0,
"349830","2015-04-30",77,244,
"277680","2014-12-11",90,171,
"277730","2015-01-22",35,17,
"277739","2014-12-05",72,37,
"277740","2014-11-06",95,42,
"277742","2015-01-19",59,22,
"277749","2015-04-22",100,2,
"277752","2014-12-18",61,26,
"277753","2014-12-10",100,5,
"277754","2014-12-12",90,21,
"277755","2015-01-30",81,16,
"277756","2015-02-26",100,3,
"277757","2015-02-26",85,7,
"277758","2015-03-12",100,8,
"277759","2015-02-06",88,9,
"349930","2015-02-27",100,1,
"277760","2015-02-12",94,19,
"349931","2015-02-27",100,2,
"349932","2015-02-27",0,0,
"277762","2015-03-05",90,10,
"349933","2015-02-27",0,0,
"277763","2015-03-26",92,14,
"349934","2015-02-27",0,0,
"277764","2015-04-29",80,5,
"349935","2015-02-27",100,2,
"277765","2015-04-02",81,11,
"349936","2015-02-27",0,0,
"349937","2015-02-27",100,1,
"277767","2015-02-27",76,13,
"349938","2015-02-27",0,0,
"277768","2015-03-19",83,24,
"349939","2015-02-27",0,0,
"277769","2015-04-16",100,12,
"349940","2015-02-27",0,1,
"277770","2015-05-06",75,4,
"349941","2015-02-27",0,0,
"277771","2015-05-14",100,8,
"349950","2015-02-12",37,32,
"349960","2015-02-19",0,0,
"349970","2015-02-12",0,0,
"349980","2015-04-30",100,1,
"277821","2015-01-31",85,20,
"277850","2014-12-16",93,16,
"362010","2015-04-03",100,2,
"362030","2015-04-14",100,2,
"362040","2015-04-06",0,1,
"362050","2015-04-20",90,12,
"362090","2015-04-16",97,72,
"362100","2015-04-10",0,0,
"362130","2015-04-17",0,0,
"362140","2015-04-22",0,0,
"362170","2015-04-07",0,0,
"362280","2015-04-09",88,63,
"362320","2015-04-16",0,0,
"362350","2015-05-08",76,47,
"362400","2015-04-27",50,45,
"362420","2015-04-13",0,0,
"362460","2015-04-21",0,0,
"362490","2015-04-29",83,480,
"290300","2015-05-08",0,0,
"362500","2015-05-01",100,1,
"290340","2015-01-14",91,244,
"362520","2015-05-01",100,1,
"362530","2015-05-01",0,0,
"362540","2015-05-01",0,0,
"362550","2015-05-01",0,0,
"362560","2015-05-01",0,0,
"362570","2015-05-01",0,0,
"362580","2015-05-01",0,0,
"362590","2015-05-01",100,1,
"362610","2015-05-25",60,5,
"362620","2015-04-27",94,115,
"362630","2015-05-06",100,3,
"362640","2015-05-06",0,0,
"362641","2015-05-06",0,0,
"362660","2015-04-21",66,9,
"362700","2015-04-17",0,0,
"290530","2014-10-30",75,37,
"362710","2015-04-09",96,29,
"362740","2015-05-11",0,0,
"362760","2015-05-02",0,0,
"362780","2015-05-08",66,3,
"362790","2015-05-08",100,1,
"290630","2014-12-19",25,4,
"362820","2015-05-01",0,0,
"362830","2015-04-21",0,0,
"362850","2015-05-26",0,0,
"362860","2015-05-22",0,0,
"362870","2015-04-24",93,44,
"362890","2015-05-05",96,1320,
"362900","2015-04-20",100,3,
"362920","2015-04-17",75,4,
"362940","2015-05-18",100,11,
"362950","2015-04-15",0,0,
"290790","2015-01-14",74,1009,
"290830","2015-01-06",50,202,
"290930","2015-03-25",87,1168,
"278100","2015-02-23",0,0,
"22140","2014-12-05",60,53,
"363000","2015-04-28",0,0,
"363020","2015-04-15",0,0,
"363030","2015-04-17",60,5,
"363031","2015-04-17",80,5,
"363050","2015-04-24",100,5,
"363060","2015-04-24",100,2,
"363070","2015-04-24",100,1,
"363200","2015-05-04",50,2,
"363220","2015-04-15",100,6,
"363260","2015-04-28",0,0,
"363261","2015-04-28",0,0,
"363320","2015-04-28",100,1,
"363330","2015-04-17",92,27,
"363340","2015-04-22",100,1,
"291170","2014-11-11",67,52,
"363410","2015-05-20",78,19,
"363430","2015-05-15",100,4,
"363460","2015-04-21",91,70,
"363480","2015-04-17",58,17,
"363490","2015-04-14",46,13,
"363500","2015-05-12",0,0,
"363550","2015-05-06",100,5,
"363570","2015-04-14",0,0,
"363620","2015-04-18",93,15,
"363630","2015-05-19",100,1,
"291470","2015-02-06",0,0,
"363660","2015-04-17",25,4,
"363690","2015-04-15",0,0,
"363740","2015-04-27",0,0,
"363770","2015-05-26",0,0,
"363781","2015-05-26",0,0,
"363790","2015-05-05",84,32,
"363800","2015-04-28",0,0,
"363810","2015-05-12",0,0,
"363830","2015-05-09",0,0,
"363900","2015-04-16",66,6,
"363920","2015-04-20",100,1,
"363970","2015-05-14",92,5287,
"279440","2014-11-21",77,148,
"279720","2015-03-04",61,39,
"279740","2015-04-02",80,5,
"279800","2015-03-23",98,100,
"364100","2015-05-21",100,3,
"364130","2015-05-21",85,7,
"364170","2015-04-17",0,0,
"364180","2015-04-16",0,1,
"364240","2015-04-20",0,1,
"364270","2015-04-29",100,4,
"292114","2015-01-21",0,0,
"292116","2014-11-20",0,0,
"292117","2014-11-20",0,0,
"292118","2014-11-20",0,0,
"292119","2014-11-20",0,0,
"364300","2015-05-11",72,43,
"292140","2014-11-11",73,1025,
"364320","2015-05-21",50,2,
"364360","2015-04-22",0,0,
"364370","2015-04-23",60,10,
"364380","2015-04-24",97,42,
"364400","2015-04-22",0,0,
"364410","2015-04-17",0,0,
"364450","2015-04-20",67,46,
"364480","2015-05-14",100,3,
"364660","2015-04-17",50,2,
"364710","2015-04-22",0,0,
"364750","2015-05-11",0,0,
"364770","2015-04-20",100,6,
"364790","2015-05-18",0,0,
"364800","2015-05-08",100,4,
"364810","2015-05-08",100,13,
"364890","2015-04-23",73,15,
"364900","2015-04-30",0,0,
"364920","2015-04-20",80,5,
"292750","2014-11-30",0,0,
"364930","2015-04-25",88,18,
"364940","2015-04-22",64,89,
"364970","2015-05-01",100,2,
"365000","2015-04-20",0,0,
"365020","2015-05-15",0,0,
"365030","2015-04-18",75,4,
"365031","2015-04-17",50,6,
"365032","2015-04-17",85,7,
"365033","2015-04-17",62,8,
"365050","2015-04-20",56,192,
"365070","2015-04-21",63,273,
"365080","2015-05-11",75,5,
"365110","2015-04-21",75,4,
"365140","2015-05-22",0,0,
"365170","2015-04-23",93,62,
"365190","2015-05-13",90,11,
"208750","2014-11-12",92,438,
"365210","2015-05-01",95,21,
"365220","2015-05-01",0,0,
"365270","2015-04-21",54,31,
"365280","2015-05-04",60,5,
"365290","2015-04-23",0,0,
"293140","2015-01-24",91,12,
"365320","2015-05-22",0,0,
"365330","2015-04-24",71,32,
"365340","2015-04-27",57,7,
"365360","2015-04-21",95,191,
"293220","2015-05-14",77,202,
"365400","2015-05-06",33,3,
"365420","2015-04-28",70,11,
"365430","2015-04-23",100,4,
"293280","2015-02-02",0,0,
"365460","2015-05-26",100,1,
"365470","2015-05-12",0,0,
"365490","2015-04-22",0,0,
"365500","2015-04-30",100,9,
"293340","2014-11-20",59,52,
"365520","2015-05-20",0,0,
"365530","2015-05-19",100,1,
"365540","2015-05-20",0,0,
"365580","2015-05-04",100,6,
"293440","2014-11-05",87,56,
"365620","2015-05-05",33,3,
"365630","2015-04-21",0,0,
"293480","2014-11-14",85,60,
"365670","2015-04-24",99,625,
"293520","2015-05-14",0,0,
"293560","2014-10-31",65,1343,
"365760","2015-05-19",0,0,
"365840","2015-05-14",95,22,
"365860","2015-05-20",100,15,
"365870","2015-05-11",100,7,
"293760","2015-03-12",91,273,
"366060","2015-05-21",100,5,
"366080","2015-04-23",93,15,
"366140","2015-04-23",0,1,
"366190","2015-05-01",0,0,
"366210","2015-05-26",0,0,
"294060","2015-02-10",87,24,
"366290","2015-04-28",85,14,
"294160","2014-12-03",86,521,
"366410","2015-05-25",0,0,
"366420","2015-04-23",0,0,
"366430","2015-04-23",0,0,
"366460","2015-05-04",100,6,
"366530","2015-04-30",40,15,
